Periodo,Industria,Genero,Valor
ago-15,nan,Varones,22111.7
sep-15,nan,Varones,26206.8
oct-15,nan,Varones,29258.3
nov-15,nan,Varones,22985.4
dic-15,nan,Varones,36672.1
ene-16,nan,Varones,26883.5
feb-16,nan,Varones,26604.8
mar-16,nan,Varones,24817.3
abr-16,nan,Varones,29238.9
may-16,nan,Varones,26995.4
jun-16,nan,Varones,38403.3
jul-16,nan,Varones,29771.8
ago-16,nan,Varones,28382
sep-16,nan,Varones,33628.8
oct-16,nan,Varones,34843.7
nov-16,nan,Varones,32340.4
dic-16,nan,Varones,47204.5
ene-17,nan,Varones,37149.3
feb-17,nan,Varones,33158.2
mar-17,nan,Varones,32569.7
abr-17,nan,Varones,31876.8
may-17,nan,Varones,32749.5
jun-17,nan,Varones,51498.7
jul-17,nan,Varones,39142.2
ago-17,nan,Varones,37636.7
sep-17,nan,Varones,44420.8
oct-17,nan,Varones,45117.2
nov-17,nan,Varones,40283
dic-17,nan,Varones,58528.9
ene-18,nan,Varones,45980.1
feb-18,nan,Varones,42623.7
mar-18,nan,Varones,41180.6
abr-18,nan,Varones,44189.1
may-18,nan,Varones,44175.6
jun-18,nan,Varones,64681.1
jul-18,nan,Varones,46417.4
ago-18,nan,Varones,48295.7
sep-18,nan,Varones,57169.2
oct-18,nan,Varones,65415
nov-18,nan,Varones,50708.2
dic-18,nan,Varones,78125.9
ene-19,nan,Varones,61705.3
feb-19,nan,Varones,56152.8
mar-19,nan,Varones,58855.1
abr-19,nan,Varones,64390.9
may-19,nan,Varones,73743.9
jun-19,nan,Varones,93376.7
jul-19,nan,Varones,66549.1
ago-19,nan,Varones,81727
sep-19,nan,Varones,102508.6
oct-19,nan,Varones,78978.2
nov-19,nan,Varones,76571.1
dic-19,nan,Varones,119380.3
ene-20,nan,Varones,92189.8
feb-20,nan,Varones,90157.5
mar-20,nan,Varones,82271.5
abr-20,nan,Varones,74060.9
may-20,nan,Varones,74982
jun-20,nan,Varones,120651.4
jul-20,nan,Varones,79335.5
ago-20,nan,Varones,80433.1
sep-20,nan,Varones,104917
oct-20,nan,Varones,110644
nov-20,nan,Varones,92026.7
dic-20,nan,Varones,143483.8
ene-21,nan,Varones,122906.9
feb-21,nan,Varones,128565.5
mar-21,nan,Varones,117074.2
abr-21,nan,Varones,133230
may-21,nan,Varones,143602
jun-21,nan,Varones,210022.4
jul-21,nan,Varones,150643
ago-21,nan,Varones,148301.9
sep-21,nan,Varones,183028.6
oct-21,nan,Varones,199729.1
nov-21,nan,Varones,161409.6
dic-21,nan,Varones,251283.3
ene-22,nan,Varones,186266.3
feb-22,nan,Varones,198377.8
mar-22,nan,Varones,190326.9
abr-22,nan,Varones,239104.8
may-22,nan,Varones,225890.9
jun-22,nan,Varones,377438
jul-22,nan,Varones,252303.5
ago-22,nan,Varones,250883.3
sep-22,nan,Varones,394999.9
oct-22,nan,Varones,293506.7
ene-96,Otros productos de metal,Mujeres,677.2
feb-96,Otros productos de metal,Mujeres,621.6
mar-96,Otros productos de metal,Mujeres,601.8
abr-96,Otros productos de metal,Mujeres,638.6
may-96,Otros productos de metal,Mujeres,652.2
jun-96,Otros productos de metal,Mujeres,914.2
jul-96,Otros productos de metal,Mujeres,673.5
ago-96,Otros productos de metal,Mujeres,671.4
sep-96,Otros productos de metal,Mujeres,671.1
oct-96,Otros productos de metal,Mujeres,668.8
nov-96,Otros productos de metal,Mujeres,660.8
dic-96,Otros productos de metal,Mujeres,952.2
ene-97,Otros productos de metal,Mujeres,688.8
feb-97,Otros productos de metal,Mujeres,607.2
mar-97,Otros productos de metal,Mujeres,627.7
abr-97,Otros productos de metal,Mujeres,637.1
may-97,Otros productos de metal,Mujeres,659.9
jun-97,Otros productos de metal,Mujeres,894.4
jul-97,Otros productos de metal,Mujeres,677.4
ago-97,Otros productos de metal,Mujeres,650.2
sep-97,Otros productos de metal,Mujeres,660.7
oct-97,Otros productos de metal,Mujeres,673.8
nov-97,Otros productos de metal,Mujeres,635.6
dic-97,Otros productos de metal,Mujeres,967.3
ene-98,Otros productos de metal,Mujeres,656.3
feb-98,Otros productos de metal,Mujeres,610.8
mar-98,Otros productos de metal,Mujeres,643.5
abr-98,Otros productos de metal,Mujeres,653.9
may-98,Otros productos de metal,Mujeres,656.8
jun-98,Otros productos de metal,Mujeres,938.3
jul-98,Otros productos de metal,Mujeres,682.8
ago-98,Otros productos de metal,Mujeres,665.7
sep-98,Otros productos de metal,Mujeres,670.9
oct-98,Otros productos de metal,Mujeres,677.8
nov-98,Otros productos de metal,Mujeres,669.9
dic-98,Otros productos de metal,Mujeres,1001.1
ene-99,Otros productos de metal,Mujeres,699.6
feb-99,Otros productos de metal,Mujeres,649.1
mar-99,Otros productos de metal,Mujeres,654.1
abr-99,Otros productos de metal,Mujeres,642
may-99,Otros productos de metal,Mujeres,668.6
jun-99,Otros productos de metal,Mujeres,953.8
jul-99,Otros productos de metal,Mujeres,666.5
ago-99,Otros productos de metal,Mujeres,650.1
sep-99,Otros productos de metal,Mujeres,657.9
oct-99,Otros productos de metal,Mujeres,653.4
nov-99,Otros productos de metal,Mujeres,651.6
dic-99,Otros productos de metal,Mujeres,983.1
ene-00,Otros productos de metal,Mujeres,663.9
feb-00,Otros productos de metal,Mujeres,640.1
mar-00,Otros productos de metal,Mujeres,634.7
abr-00,Otros productos de metal,Mujeres,636.3
may-00,Otros productos de metal,Mujeres,654.4
jun-00,Otros productos de metal,Mujeres,929.7
jul-00,Otros productos de metal,Mujeres,663.4
ago-00,Otros productos de metal,Mujeres,647.7
sep-00,Otros productos de metal,Mujeres,644.6
oct-00,Otros productos de metal,Mujeres,639.8
nov-00,Otros productos de metal,Mujeres,635.8
dic-00,Otros productos de metal,Mujeres,962.3
ene-01,Otros productos de metal,Mujeres,679.7
feb-01,Otros productos de metal,Mujeres,639.8
mar-01,Otros productos de metal,Mujeres,617.5
abr-01,Otros productos de metal,Mujeres,630
may-01,Otros productos de metal,Mujeres,661.6
jun-01,Otros productos de metal,Mujeres,916.8
jul-01,Otros productos de metal,Mujeres,647.3
ago-01,Otros productos de metal,Mujeres,634.8
sep-01,Otros productos de metal,Mujeres,628.4
oct-01,Otros productos de metal,Mujeres,630.2
nov-01,Otros productos de metal,Mujeres,631.8
dic-01,Otros productos de metal,Mujeres,923
ene-02,Otros productos de metal,Mujeres,599.2
feb-02,Otros productos de metal,Mujeres,583.3
mar-02,Otros productos de metal,Mujeres,561.6
abr-02,Otros productos de metal,Mujeres,566.5
may-02,Otros productos de metal,Mujeres,603.1
jun-02,Otros productos de metal,Mujeres,808.6
jul-02,Otros productos de metal,Mujeres,650.9
ago-02,Otros productos de metal,Mujeres,658.8
sep-02,Otros productos de metal,Mujeres,663
oct-02,Otros productos de metal,Mujeres,678.9
nov-02,Otros productos de metal,Mujeres,669.8
dic-02,Otros productos de metal,Mujeres,997.6
ene-03,Otros productos de metal,Mujeres,709.5
feb-03,Otros productos de metal,Mujeres,662.2
mar-03,Otros productos de metal,Mujeres,650.4
abr-03,Otros productos de metal,Mujeres,674.3
may-03,Otros productos de metal,Mujeres,728.6
jun-03,Otros productos de metal,Mujeres,965.8
jul-03,Otros productos de metal,Mujeres,768
ago-03,Otros productos de metal,Mujeres,772
sep-03,Otros productos de metal,Mujeres,799.7
oct-03,Otros productos de metal,Mujeres,816
nov-03,Otros productos de metal,Mujeres,832.3
dic-03,Otros productos de metal,Mujeres,1260.5
ene-04,Otros productos de metal,Mujeres,896.3
feb-04,Otros productos de metal,Mujeres,862.5
mar-04,Otros productos de metal,Mujeres,887.5
abr-04,Otros productos de metal,Mujeres,882
may-04,Otros productos de metal,Mujeres,929.1
jun-04,Otros productos de metal,Mujeres,1256
jul-04,Otros productos de metal,Mujeres,937.7
ago-04,Otros productos de metal,Mujeres,932.6
sep-04,Otros productos de metal,Mujeres,927.5
oct-04,Otros productos de metal,Mujeres,947.8
nov-04,Otros productos de metal,Mujeres,950.6
dic-04,Otros productos de metal,Mujeres,1504.3
ene-05,Otros productos de metal,Mujeres,1106.3
feb-05,Otros productos de metal,Mujeres,1013.2
mar-05,Otros productos de metal,Mujeres,1013.8
abr-05,Otros productos de metal,Mujeres,1055.3
may-05,Otros productos de metal,Mujeres,1074.5
jun-05,Otros productos de metal,Mujeres,1470.5
jul-05,Otros productos de metal,Mujeres,1111.1
ago-05,Otros productos de metal,Mujeres,1146.2
sep-05,Otros productos de metal,Mujeres,1200.5
oct-05,Otros productos de metal,Mujeres,1204.1
nov-05,Otros productos de metal,Mujeres,1218.3
dic-05,Otros productos de metal,Mujeres,1836.5
ene-06,Otros productos de metal,Mujeres,1325.7
feb-06,Otros productos de metal,Mujeres,1233.3
mar-06,Otros productos de metal,Mujeres,1247.2
abr-06,Otros productos de metal,Mujeres,1240.4
may-06,Otros productos de metal,Mujeres,1275.2
jun-06,Otros productos de metal,Mujeres,1781.3
jul-06,Otros productos de metal,Mujeres,1422.3
ago-06,Otros productos de metal,Mujeres,1462.4
sep-06,Otros productos de metal,Mujeres,1452.5
oct-06,Otros productos de metal,Mujeres,1451.8
nov-06,Otros productos de metal,Mujeres,1443.7
dic-06,Otros productos de metal,Mujeres,2169.3
ene-07,Otros productos de metal,Mujeres,1541.6
feb-07,Otros productos de metal,Mujeres,1461.4
mar-07,Otros productos de metal,Mujeres,1477.7
abr-07,Otros productos de metal,Mujeres,1481.1
may-07,Otros productos de metal,Mujeres,1673.9
jun-07,Otros productos de metal,Mujeres,2330.9
jul-07,Otros productos de metal,Mujeres,1706.1
ago-07,Otros productos de metal,Mujeres,1699.3
sep-07,Otros productos de metal,Mujeres,1671.6
oct-07,Otros productos de metal,Mujeres,1771.5
nov-07,Otros productos de metal,Mujeres,1776.3
dic-07,Otros productos de metal,Mujeres,2735.4
ene-08,Otros productos de metal,Mujeres,2014.6
feb-08,Otros productos de metal,Mujeres,1874.9
mar-08,Otros productos de metal,Mujeres,1823.3
abr-08,Otros productos de metal,Mujeres,1862.3
may-08,Otros productos de metal,Mujeres,2081.5
jun-08,Otros productos de metal,Mujeres,2948.2
jul-08,Otros productos de metal,Mujeres,2047.4
ago-08,Otros productos de metal,Mujeres,2299.6
sep-08,Otros productos de metal,Mujeres,2292.4
oct-08,Otros productos de metal,Mujeres,2321.8
nov-08,Otros productos de metal,Mujeres,2330.9
dic-08,Otros productos de metal,Mujeres,3488.3
ene-09,Otros productos de metal,Mujeres,2502.4
feb-09,Otros productos de metal,Mujeres,2409.2
mar-09,Otros productos de metal,Mujeres,2331.5
abr-09,Otros productos de metal,Mujeres,2347.1
may-09,Otros productos de metal,Mujeres,2355.5
jun-09,Otros productos de metal,Mujeres,3765.1
jul-09,Otros productos de metal,Mujeres,2452.1
ago-09,Otros productos de metal,Mujeres,2578.9
sep-09,Otros productos de metal,Mujeres,2707
oct-09,Otros productos de metal,Mujeres,2703.4
nov-09,Otros productos de metal,Mujeres,2683.9
dic-09,Otros productos de metal,Mujeres,4202.8
ene-10,Otros productos de metal,Mujeres,2932.8
feb-10,Otros productos de metal,Mujeres,2953.9
mar-10,Otros productos de metal,Mujeres,2908.1
abr-10,Otros productos de metal,Mujeres,3057.6
may-10,Otros productos de metal,Mujeres,3212.3
jun-10,Otros productos de metal,Mujeres,4691.2
jul-10,Otros productos de metal,Mujeres,3412.1
ago-10,Otros productos de metal,Mujeres,3421.8
sep-10,Otros productos de metal,Mujeres,3462.8
oct-10,Otros productos de metal,Mujeres,3459.7
nov-10,Otros productos de metal,Mujeres,3501.3
dic-10,Otros productos de metal,Mujeres,5425.5
ene-11,Otros productos de metal,Mujeres,3885.5
feb-11,Otros productos de metal,Mujeres,3829.2
mar-11,Otros productos de metal,Mujeres,3762.7
abr-11,Otros productos de metal,Mujeres,3760.9
may-11,Otros productos de metal,Mujeres,4268.1
jun-11,Otros productos de metal,Mujeres,6180.1
jul-11,Otros productos de metal,Mujeres,4398.1
ago-11,Otros productos de metal,Mujeres,4468.6
sep-11,Otros productos de metal,Mujeres,4500.6
oct-11,Otros productos de metal,Mujeres,4517.1
nov-11,Otros productos de metal,Mujeres,4584.2
dic-11,Otros productos de metal,Mujeres,6996.3
ene-12,Otros productos de metal,Mujeres,5247.6
feb-12,Otros productos de metal,Mujeres,4817.6
mar-12,Otros productos de metal,Mujeres,4885.4
abr-12,Otros productos de metal,Mujeres,4797.7
may-12,Otros productos de metal,Mujeres,5748.3
jun-12,Otros productos de metal,Mujeres,8040
jul-12,Otros productos de metal,Mujeres,5585.7
ago-12,Otros productos de metal,Mujeres,5581.8
sep-12,Otros productos de metal,Mujeres,5503.5
oct-12,Otros productos de metal,Mujeres,5685.8
nov-12,Otros productos de metal,Mujeres,5918.8
dic-12,Otros productos de metal,Mujeres,8680.6
ene-13,Otros productos de metal,Mujeres,6545.9
feb-13,Otros productos de metal,Mujeres,5868.8
mar-13,Otros productos de metal,Mujeres,6001.5
abr-13,Otros productos de metal,Mujeres,6040.6
may-13,Otros productos de metal,Mujeres,6928.3
jun-13,Otros productos de metal,Mujeres,9609.9
jul-13,Otros productos de metal,Mujeres,7025.1
ago-13,Otros productos de metal,Mujeres,6917.8
sep-13,Otros productos de metal,Mujeres,6970
oct-13,Otros productos de metal,Mujeres,7068.4
nov-13,Otros productos de metal,Mujeres,7523.2
dic-13,Otros productos de metal,Mujeres,10888.1
ene-14,Otros productos de metal,Mujeres,8109.5
feb-14,Otros productos de metal,Mujeres,7361.3
mar-14,Otros productos de metal,Mujeres,7592.3
abr-14,Otros productos de metal,Mujeres,8234.2
may-14,Otros productos de metal,Mujeres,8330.1
jun-14,Otros productos de metal,Mujeres,11994.9
jul-14,Otros productos de metal,Mujeres,8981.9
ago-14,Otros productos de metal,Mujeres,8843.7
sep-14,Otros productos de metal,Mujeres,9095.6
oct-14,Otros productos de metal,Mujeres,9184.2
nov-14,Otros productos de metal,Mujeres,9180
dic-14,Otros productos de metal,Mujeres,14259.2
ene-15,Otros productos de metal,Mujeres,10200
feb-15,Otros productos de metal,Mujeres,9993.5
mar-15,Otros productos de metal,Mujeres,9806.4
abr-15,Otros productos de metal,Mujeres,9861.6
may-15,Otros productos de metal,Mujeres,10990.4
jun-15,Otros productos de metal,Mujeres,16250.3
jul-15,Otros productos de metal,Mujeres,11854.3
ago-15,Otros productos de metal,Mujeres,11437.4
sep-15,Otros productos de metal,Mujeres,11842.9
oct-15,Otros productos de metal,Mujeres,11693.2
nov-15,Otros productos de metal,Mujeres,11902.6
dic-15,Otros productos de metal,Mujeres,18252.1
ene-16,Otros productos de metal,Mujeres,13038.5
feb-16,Otros productos de metal,Mujeres,13460.5
mar-16,Otros productos de metal,Mujeres,12911.1
abr-16,Otros productos de metal,Mujeres,13174
may-16,Otros productos de metal,Mujeres,14834.1
jun-16,Otros productos de metal,Mujeres,20947.7
jul-16,Otros productos de metal,Mujeres,14990.3
ago-16,Otros productos de metal,Mujeres,15032.9
sep-16,Otros productos de metal,Mujeres,15134.1
oct-16,Otros productos de metal,Mujeres,15716.9
nov-16,Otros productos de metal,Mujeres,16778.3
dic-16,Otros productos de metal,Mujeres,24130
ene-17,Otros productos de metal,Mujeres,17974.1
feb-17,Otros productos de metal,Mujeres,17096.4
mar-17,Otros productos de metal,Mujeres,17308
abr-17,Otros productos de metal,Mujeres,17023
may-17,Otros productos de metal,Mujeres,17636.6
jun-17,Otros productos de metal,Mujeres,27927
jul-17,Otros productos de metal,Mujeres,19930.8
ago-17,Otros productos de metal,Mujeres,19781.2
sep-17,Otros productos de metal,Mujeres,19905.8
oct-17,Otros productos de metal,Mujeres,20226.1
nov-17,Otros productos de metal,Mujeres,21066.6
dic-17,Otros productos de metal,Mujeres,30418.4
ene-18,Otros productos de metal,Mujeres,21479.2
feb-18,Otros productos de metal,Mujeres,21427.8
mar-18,Otros productos de metal,Mujeres,21539.9
abr-18,Otros productos de metal,Mujeres,21520.5
may-18,Otros productos de metal,Mujeres,23589.5
jun-18,Otros productos de metal,Mujeres,33614.8
jul-18,Otros productos de metal,Mujeres,24438.5
ago-18,Otros productos de metal,Mujeres,24533.1
sep-18,Otros productos de metal,Mujeres,25077.5
oct-18,Otros productos de metal,Mujeres,26048.2
nov-18,Otros productos de metal,Mujeres,27334.2
dic-18,Otros productos de metal,Mujeres,40232.4
ene-19,Otros productos de metal,Mujeres,28959.3
feb-19,Otros productos de metal,Mujeres,28587.6
mar-19,Otros productos de metal,Mujeres,30042.9
abr-19,Otros productos de metal,Mujeres,30616.1
may-19,Otros productos de metal,Mujeres,34848.2
jun-19,Otros productos de metal,Mujeres,50755.1
jul-19,Otros productos de metal,Mujeres,36038.5
ago-19,Otros productos de metal,Mujeres,36199.5
sep-19,Otros productos de metal,Mujeres,37067
oct-19,Otros productos de metal,Mujeres,39538.6
nov-19,Otros productos de metal,Mujeres,40203.3
dic-19,Otros productos de metal,Mujeres,60608.6
ene-20,Otros productos de metal,Mujeres,44100.3
feb-20,Otros productos de metal,Mujeres,44983.9
mar-20,Otros productos de metal,Mujeres,44225.6
abr-20,Otros productos de metal,Mujeres,40795.9
may-20,Otros productos de metal,Mujeres,41777.8
jun-20,Otros productos de metal,Mujeres,64359
jul-20,Otros productos de metal,Mujeres,45026
ago-20,Otros productos de metal,Mujeres,47503.2
sep-20,Otros productos de metal,Mujeres,49197.7
oct-20,Otros productos de metal,Mujeres,50950.5
nov-20,Otros productos de metal,Mujeres,51711.4
dic-20,Otros productos de metal,Mujeres,78480.9
ene-21,Otros productos de metal,Mujeres,59030.2
feb-21,Otros productos de metal,Mujeres,61033.5
mar-21,Otros productos de metal,Mujeres,64350.1
abr-21,Otros productos de metal,Mujeres,68227.5
may-21,Otros productos de metal,Mujeres,69619.8
jun-21,Otros productos de metal,Mujeres,103502.9
jul-21,Otros productos de metal,Mujeres,76352
ago-21,Otros productos de metal,Mujeres,76908.4
sep-21,Otros productos de metal,Mujeres,78725.4
oct-21,Otros productos de metal,Mujeres,83539
nov-21,Otros productos de metal,Mujeres,84870.5
dic-21,Otros productos de metal,Mujeres,130962.4
ene-22,Otros productos de metal,Mujeres,97527.1
feb-22,Otros productos de metal,Mujeres,94152.4
mar-22,Otros productos de metal,Mujeres,103397.1
abr-22,Otros productos de metal,Mujeres,111007
may-22,Otros productos de metal,Mujeres,113922.8
jun-22,Otros productos de metal,Mujeres,167753.8
jul-22,Otros productos de metal,Mujeres,128653.4
ago-22,Otros productos de metal,Mujeres,138050
sep-22,Otros productos de metal,Mujeres,142755.6
oct-22,Otros productos de metal,Mujeres,153558.4
ene-96,nan,Varones,734.8
feb-96,nan,Varones,684.6
mar-96,nan,Varones,642.8
abr-96,nan,Varones,665.9
may-96,nan,Varones,690.6
jun-96,nan,Varones,964
jul-96,nan,Varones,679.2
ago-96,nan,Varones,662.1
sep-96,nan,Varones,648.8
oct-96,nan,Varones,688.9
nov-96,nan,Varones,659.4
dic-96,nan,Varones,1015.9
ene-97,nan,Varones,729.8
feb-97,nan,Varones,652.4
mar-97,nan,Varones,634.7
abr-97,nan,Varones,651.3
may-97,nan,Varones,665.5
jun-97,nan,Varones,951.8
jul-97,nan,Varones,672.1
ago-97,nan,Varones,643.4
sep-97,nan,Varones,670.8
oct-97,nan,Varones,696.3
nov-97,nan,Varones,640.3
dic-97,nan,Varones,1026.5
ene-98,nan,Varones,716.7
feb-98,nan,Varones,657.9
mar-98,nan,Varones,654.1
abr-98,nan,Varones,655.1
may-98,nan,Varones,650.5
jun-98,nan,Varones,976.1
jul-98,nan,Varones,678.6
ago-98,nan,Varones,657.6
sep-98,nan,Varones,658.5
oct-98,nan,Varones,659.8
nov-98,nan,Varones,641.6
dic-98,nan,Varones,1020.5
ene-99,nan,Varones,692.6
feb-99,nan,Varones,648.1
mar-99,nan,Varones,657
abr-99,nan,Varones,635.3
may-99,nan,Varones,637.4
jun-99,nan,Varones,954.1
jul-99,nan,Varones,635.2
ago-99,nan,Varones,632.2
sep-99,nan,Varones,633
oct-99,nan,Varones,626.3
nov-99,nan,Varones,642.5
dic-99,nan,Varones,1000.5
ene-00,nan,Varones,680.3
feb-00,nan,Varones,651.9
mar-00,nan,Varones,646.4
abr-00,nan,Varones,620
may-00,nan,Varones,646.7
jun-00,nan,Varones,952.6
jul-00,nan,Varones,645.2
ago-00,nan,Varones,648.7
sep-00,nan,Varones,630.4
oct-00,nan,Varones,645.5
nov-00,nan,Varones,634.2
dic-00,nan,Varones,967.9
ene-01,nan,Varones,693.6
feb-01,nan,Varones,650.9
mar-01,nan,Varones,645.8
abr-01,nan,Varones,633
may-01,nan,Varones,646.4
jun-01,nan,Varones,916.3
jul-01,nan,Varones,623.7
ago-01,nan,Varones,624.2
sep-01,nan,Varones,590.3
oct-01,nan,Varones,621.2
nov-01,nan,Varones,613.6
dic-01,nan,Varones,920.1
ene-02,nan,Varones,654.6
feb-02,nan,Varones,617.5
mar-02,nan,Varones,580.7
abr-02,nan,Varones,610.7
may-02,nan,Varones,625.2
jun-02,nan,Varones,896.7
jul-02,nan,Varones,661.8
ago-02,nan,Varones,653.1
sep-02,nan,Varones,659.1
oct-02,nan,Varones,688.7
nov-02,nan,Varones,675.8
dic-02,nan,Varones,1043.6
ene-03,nan,Varones,764.4
feb-03,nan,Varones,717.5
mar-03,nan,Varones,719.8
abr-03,nan,Varones,743.2
may-03,nan,Varones,767.6
jun-03,nan,Varones,1069.7
jul-03,nan,Varones,793.9
ago-03,nan,Varones,775
sep-03,nan,Varones,819.3
oct-03,nan,Varones,841.9
nov-03,nan,Varones,832.2
dic-03,nan,Varones,1345.6
ene-04,nan,Varones,991.6
feb-04,nan,Varones,947.4
mar-04,nan,Varones,987.6
abr-04,nan,Varones,980.5
may-04,nan,Varones,962.9
jun-04,nan,Varones,1414.1
jul-04,nan,Varones,966.9
ago-04,nan,Varones,963.6
sep-04,nan,Varones,967.4
oct-04,nan,Varones,955.6
nov-04,nan,Varones,985.4
dic-04,nan,Varones,1616.6
ene-05,nan,Varones,1164.7
feb-05,nan,Varones,1055.1
mar-05,nan,Varones,1097.4
abr-05,nan,Varones,1131.5
may-05,nan,Varones,1154
jun-05,nan,Varones,1639.4
jul-05,nan,Varones,1147.6
ago-05,nan,Varones,1219.8
sep-05,nan,Varones,1271.8
oct-05,nan,Varones,1262.3
nov-05,nan,Varones,1305.2
dic-05,nan,Varones,2022.5
ene-06,nan,Varones,1461
feb-06,nan,Varones,1301.3
mar-06,nan,Varones,1377.4
abr-06,nan,Varones,1329.5
may-06,nan,Varones,1404.8
jun-06,nan,Varones,2048.7
jul-06,nan,Varones,1535.1
ago-06,nan,Varones,1620
sep-06,nan,Varones,1574.5
oct-06,nan,Varones,1589.7
nov-06,nan,Varones,1582
dic-06,nan,Varones,2425.5
ene-07,nan,Varones,1743.9
feb-07,nan,Varones,1572.8
mar-07,nan,Varones,1634.9
abr-07,nan,Varones,1617.3
may-07,nan,Varones,1886.5
jun-07,nan,Varones,2635.9
jul-07,nan,Varones,1845.7
ago-07,nan,Varones,1911.8
sep-07,nan,Varones,1831
oct-07,nan,Varones,1959.3
nov-07,nan,Varones,1949.4
dic-07,nan,Varones,3093.8
ene-08,nan,Varones,2236.1
feb-08,nan,Varones,2034.1
mar-08,nan,Varones,2003.3
abr-08,nan,Varones,2084.4
may-08,nan,Varones,2329.9
jun-08,nan,Varones,3336.1
jul-08,nan,Varones,2366.1
ago-08,nan,Varones,2513.4
sep-08,nan,Varones,2557.7
oct-08,nan,Varones,2570.4
nov-08,nan,Varones,2505.4
dic-08,nan,Varones,4034.7
ene-09,nan,Varones,2708.1
feb-09,nan,Varones,2486.4
mar-09,nan,Varones,2491.7
abr-09,nan,Varones,2538.3
may-09,nan,Varones,2487.6
jun-09,nan,Varones,4049.1
jul-09,nan,Varones,2648.2
ago-09,nan,Varones,2738.3
sep-09,nan,Varones,2913.6
oct-09,nan,Varones,2955.8
nov-09,nan,Varones,2906.3
dic-09,nan,Varones,4723.1
ene-10,nan,Varones,3137.6
feb-10,nan,Varones,3047.2
mar-10,nan,Varones,3173.8
abr-10,nan,Varones,3352.8
may-10,nan,Varones,3546.6
jun-10,nan,Varones,5140.2
jul-10,nan,Varones,3732.7
ago-10,nan,Varones,3732.4
sep-10,nan,Varones,3765.1
oct-10,nan,Varones,3713.7
nov-10,nan,Varones,3821.1
dic-10,nan,Varones,6045.4
ene-11,nan,Varones,4219.8
feb-11,nan,Varones,4007.2
mar-11,nan,Varones,4108.5
abr-11,nan,Varones,3998.6
may-11,nan,Varones,4754.1
jun-11,nan,Varones,6651.6
jul-11,nan,Varones,4775.8
ago-11,nan,Varones,4883.8
sep-11,nan,Varones,4834.6
oct-11,nan,Varones,4785.3
nov-11,nan,Varones,4912
dic-11,nan,Varones,7670.6
ene-12,nan,Varones,5682.3
feb-12,nan,Varones,5077
mar-12,nan,Varones,5255.6
abr-12,nan,Varones,4970.6
may-12,nan,Varones,6233.6
jun-12,nan,Varones,8593.1
jul-12,nan,Varones,6032
ago-12,nan,Varones,6048.1
sep-12,nan,Varones,5719.8
oct-12,nan,Varones,6133.7
nov-12,nan,Varones,6339.7
dic-12,nan,Varones,9452.6
ene-13,nan,Varones,6938.4
feb-13,nan,Varones,6013.7
mar-13,nan,Varones,6250.8
abr-13,nan,Varones,6401.1
may-13,nan,Varones,7663.1
jun-13,nan,Varones,10161
jul-13,nan,Varones,7602.4
ago-13,nan,Varones,7377.7
sep-13,nan,Varones,7374
oct-13,nan,Varones,7617.8
nov-13,nan,Varones,7835.3
dic-13,nan,Varones,11958.4
ene-14,nan,Varones,8519.8
feb-14,nan,Varones,7451.3
mar-14,nan,Varones,7748.9
abr-14,nan,Varones,8765.7
may-14,nan,Varones,9104.4
jun-14,nan,Varones,12979.3
jul-14,nan,Varones,9764.9
ago-14,nan,Varones,9426.1
sep-14,nan,Varones,9864.5
oct-14,nan,Varones,10006.4
nov-14,nan,Varones,9598.4
dic-14,nan,Varones,15950.4
ene-15,nan,Varones,10738.9
feb-15,nan,Varones,10407
mar-15,nan,Varones,10270.8
abr-15,nan,Varones,10308.4
may-15,nan,Varones,11742.7
jun-15,nan,Varones,17825.1
jul-15,nan,Varones,12803.1
ago-15,nan,Varones,12272.6
sep-15,nan,Varones,12719.5
oct-15,nan,Varones,12776.8
nov-15,nan,Varones,12645.4
dic-15,nan,Varones,20441.4
ene-16,nan,Varones,13320.2
feb-16,nan,Varones,14263.6
mar-16,nan,Varones,13571.3
abr-16,nan,Varones,13516.2
may-16,nan,Varones,16279.4
jun-16,nan,Varones,22467.9
jul-16,nan,Varones,15857.9
ago-16,nan,Varones,16134.3
sep-16,nan,Varones,15833.5
oct-16,nan,Varones,16327.3
nov-16,nan,Varones,17797.5
dic-16,nan,Varones,26243
ene-17,nan,Varones,18973.3
feb-17,nan,Varones,17524.1
mar-17,nan,Varones,18056.3
abr-17,nan,Varones,17108.7
may-17,nan,Varones,18596.3
jun-17,nan,Varones,30034
jul-17,nan,Varones,20893.6
ago-17,nan,Varones,21329
sep-17,nan,Varones,20577.5
oct-17,nan,Varones,21227.9
nov-17,nan,Varones,22425
dic-17,nan,Varones,32386
ene-18,nan,Varones,23520.8
feb-18,nan,Varones,21896.7
mar-18,nan,Varones,22325.8
abr-18,nan,Varones,21808.9
may-18,nan,Varones,25140.4
jun-18,nan,Varones,34961.8
jul-18,nan,Varones,25275.7
ago-18,nan,Varones,25843.9
sep-18,nan,Varones,25113.9
oct-18,nan,Varones,27533.6
nov-18,nan,Varones,28507
dic-18,nan,Varones,42858
ene-19,nan,Varones,30792.2
feb-19,nan,Varones,28901.5
mar-19,nan,Varones,31443.6
abr-19,nan,Varones,31609.8
may-19,nan,Varones,38406.3
jun-19,nan,Varones,53434.8
jul-19,nan,Varones,38853.9
ago-19,nan,Varones,39623.9
